[--Log--][23:43:12][enginelogger.cpp, 013]   Cleared Log!
[--Log--][23:43:12][meshmanager.cpp, 020]   Reading Mesh File C:/Users/Owen/Documents/C++/RaytracingEngine/Meshfiles/ObjTest.obj
[--Log--][23:43:12][meshdecoder.cpp, 313]   1
[--Log--][23:43:12][meshdecoder.cpp, 313]   2
[--Log--][23:43:12][meshdecoder.cpp, 313]   3
[--Log--][23:43:12][meshdecoder.cpp, 313]   4
[--Log--][23:43:12][meshdecoder.cpp, 313]   5
[--Log--][23:43:12][meshdecoder.cpp, 313]   6
[--Log--][23:43:12][meshdecoder.cpp, 313]   7
[--Log--][23:43:12][meshdecoder.cpp, 313]   8
[--Log--][23:43:12][meshdecoder.cpp, 313]   9
[--Log--][23:43:12][meshdecoder.cpp, 313]   10
[--Log--][23:43:12][meshdecoder.cpp, 313]   11
[--Log--][23:43:12][meshdecoder.cpp, 313]   12
[--Log--][23:43:12][meshdecoder.cpp, 313]   13
[--Log--][23:43:12][meshdecoder.cpp, 313]   14
[--Log--][23:43:12][meshdecoder.cpp, 313]   15
[--Log--][23:43:12][meshdecoder.cpp, 313]   16
[--Log--][23:43:12][meshdecoder.cpp, 313]   17
[--Log--][23:43:12][meshdecoder.cpp, 313]   18
[--Log--][23:43:12][meshdecoder.cpp, 313]   19
[--Log--][23:43:12][meshdecoder.cpp, 313]   20
[--Log--][23:43:12][meshdecoder.cpp, 313]   21
[--Log--][23:43:12][meshdecoder.cpp, 313]   22
[--Log--][23:43:12][meshdecoder.cpp, 313]   23
[--Log--][23:43:12][meshdecoder.cpp, 313]   24
[--Log--][23:43:12][meshdecoder.cpp, 313]   25
[--Log--][23:43:12][meshdecoder.cpp, 313]   26
[--Log--][23:43:12][meshdecoder.cpp, 313]   27
[--Log--][23:43:12][meshdecoder.cpp, 313]   28
[--Log--][23:43:12][meshdecoder.cpp, 313]   29
[--Log--][23:43:12][meshdecoder.cpp, 313]   30
[--Log--][23:43:12][meshdecoder.cpp, 313]   31
[--Log--][23:43:12][meshdecoder.cpp, 313]   32
